,solar,G(i),H_sun,T2m,WS10m,Int,Consumption_kW,net_export
2024-01-01 00:00:00,0.0,0.0,0.0,4.96,2.69,0,0.405,0.0
2024-01-01 01:00:00,0.0,0.0,0.0,4.51,2.62,0,0.409,0.0
2024-01-01 02:00:00,0.0,0.0,0.0,4.31,2.76,0,0.4599999999999999,0.0
2024-01-01 03:00:00,0.0,0.0,0.0,4.38,2.9,0,0.414,0.0
2024-01-01 04:00:00,0.0,0.0,0.0,4.77,3.03,0,0.407,0.0
2024-01-01 05:00:00,0.0,0.0,0.0,5.43,3.17,0,0.4519999999999999,0.0
2024-01-01 06:00:00,0.0,0.0,0.0,6.0,3.31,0,0.426,0.0
2024-01-01 07:00:00,0.0,0.0,0.0,6.32,3.38,0,0.412,0.0
2024-01-01 08:00:00,0.0,0.0,0.0,6.83,3.66,0,0.4479999999999999,0.0
2024-01-01 09:00:00,3.3333333333333335e-05,5.68,6.07,7.24,3.93,0,0.428,0.0
2024-01-01 10:00:00,0.0063999999999999994,17.03,11.3,7.58,4.48,0,0.401,0.0
2024-01-01 11:00:00,0.09593666666666667,120.1,14.58,8.04,4.21,0,0.436,0.0
2024-01-01 12:00:00,0.008286666666666666,19.87,15.65,8.91,6.76,0,0.431,0.0
2024-01-01 13:00:00,0.10495,130.16,14.39,9.26,5.1,0,0.406,0.0
2024-01-01 14:00:00,0.005076666666666667,15.14,10.93,10.01,7.24,0,0.437,0.0
2024-01-01 15:00:00,0.010923333333333334,23.65,5.56,10.19,8.21,0,0.416,0.0
2024-01-01 16:00:00,0.0,0.0,0.0,10.13,8.76,0,0.398,0.0
2024-01-01 17:00:00,0.0,0.0,0.0,10.62,9.1,0,0.431,0.0
2024-01-01 18:00:00,0.0,0.0,0.0,9.9,9.93,0,0.402,0.0
2024-01-01 19:00:00,0.0,0.0,0.0,9.05,8.41,0,0.406,0.0
2024-01-01 20:00:00,0.0,0.0,0.0,7.88,8.34,0,0.422,0.0
2024-01-01 21:00:00,0.0,0.0,0.0,6.99,7.72,0,0.403,0.0
2024-01-01 22:00:00,0.0,0.0,0.0,6.36,7.17,0,0.398,0.0
2024-01-01 23:00:00,0.0,0.0,0.0,5.79,6.83,0,0.4579999999999999,0.0
2024-01-02 00:00:00,0.0,0.0,0.0,5.29,6.62,0,0.164,0.0
2024-01-02 01:00:00,0.0,0.0,0.0,4.84,6.41,0,0.1,0.0
2024-01-02 02:00:00,0.0,0.0,0.0,4.5,6.21,0,0.098,0.0
